epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.077,2.39227,4.94683,1.25213,0.00418,0.78409,0.00715,0.00259,1.71543,4.5259,0.90991,0.000627451,0.000627451,0.000627451
2,239.069,2.10345,2.6676,0.9311,0.00309,0.57955,0.00307,0.0009,2.21792,4.68314,1.02686,0.00123006,0.00123006,0.00123006
3,359.568,1.96941,2.21329,0.91261,0.00418,0.78409,0.00744,0.00332,1.80402,4.09756,0.97553,0.00176667,0.00176667,0.00176667
4,482.676,1.95624,2.07856,0.92566,0.23555,0.4272,0.16491,0.06032,1.74488,3.39736,0.95094,0.001703,0.001703,0.001703
5,614.417,1.87566,1.78456,0.90949,0.93059,0.60943,0.79,0.36411,1.69193,2.67115,1.0063,0.001604,0.001604,0.001604
6,740.53,1.78628,1.69734,0.88508,0.85835,0.7575,0.83579,0.42437,1.61623,2.29615,0.9938,0.001505,0.001505,0.001505
7,860.668,1.79191,1.5149,0.88272,0.77986,0.76491,0.77662,0.41355,1.61539,1.85466,0.95569,0.001406,0.001406,0.001406
8,979.033,1.78784,1.48133,0.89248,0.83889,0.80682,0.84592,0.4763,1.56492,1.69192,0.94049,0.001307,0.001307,0.001307
9,1112.66,1.72952,1.419,0.89411,0.80758,0.82955,0.87017,0.44316,1.56724,1.56782,0.90262,0.001208,0.001208,0.001208
10,1262.07,1.68368,1.28508,0.8754,0.92584,0.85121,0.92516,0.5221,1.42052,1.37952,0.91079,0.001109,0.001109,0.001109
11,1444.64,1.58426,1.40487,0.91019,0.86201,0.81818,0.88523,0.47135,1.617,1.58947,0.94203,0.00101,0.00101,0.00101
12,1580.13,1.56435,1.37689,0.88923,0.88419,0.85227,0.88615,0.48621,1.49205,1.31978,0.92732,0.000911,0.000911,0.000911
13,1717.06,1.49717,1.23113,0.86342,0.87407,0.88636,0.91086,0.49403,1.4701,1.30692,0.90245,0.000812,0.000812,0.000812
14,1856.62,1.51071,1.19894,0.86644,0.88195,0.875,0.89565,0.50999,1.49898,1.26219,0.90121,0.000713,0.000713,0.000713
15,1995.1,1.42924,1.19375,0.84357,0.89933,0.81219,0.88893,0.4726,1.52291,1.24345,0.92133,0.000614,0.000614,0.000614
16,2131.1,1.52157,1.17099,0.88179,0.89065,0.86364,0.91726,0.52921,1.46415,1.16255,0.93548,0.000515,0.000515,0.000515
17,2274.92,1.48788,1.13699,0.84884,0.87445,0.87067,0.90822,0.50449,1.54652,1.14971,0.96025,0.000416,0.000416,0.000416
18,2404.31,1.42459,1.10797,0.85137,0.89271,0.851,0.90922,0.54526,1.40074,1.07077,0.91175,0.000317,0.000317,0.000317
19,2535.66,1.35783,1.01914,0.86007,0.87906,0.85227,0.89057,0.51357,1.42801,1.08747,0.91192,0.000218,0.000218,0.000218
20,2669.42,1.39822,1.05235,0.85547,0.89227,0.85227,0.885,0.5072,1.4257,1.08474,0.91493,0.000119,0.000119,0.000119
